Item_ID	Sentence	Pre	ParentString	Partitive	ParentNode	NoPreNode	GrammFunction	Objects	NPNiteID
159382:38	and, uh, people didn't get paid --n402a1b much there at all.	at	at all	no	ADVP				
159391:54	and, uh, the, the people living in the nursing home would have all kinds of needs that --n402c9e wouldn't get met --n402cb5 because they were just old people.	have	have all kinds of needs that --n402c9e wouldn't get met --n402cb5 because they were just old people	no	VP		NP	NP-OBJ	sw4166_s75_514
159403:37	you need --n4031cd to have twenty-four hour care uh, answering all the needs cause they can't do much for themselves at certain points.	answering	answering all the needs	nullpartitive	VP		NP	NP-OBJ	sw4166_s82_512
159494:30	uh, i, i like all kinds.	like	like all kinds	no	VP		NP	NP-OBJ	sw4168_s17_509
159539:16	i mean, not all the time.	not	i mean, not all the time.	nullpartitive	FRAG		NP-TMP		sw4168_s44_505
159616:14	are you married at all.	at	at all	no	ADVP				
159663:63	i'm, i'm not, i'm never really up to date on all that stuff.	on	on all that stuff	nullpartitive	PP		NP	NP-OTHER	sw4168_s123_521
159760:51	well, do do you watch music television, m t v --n404e58 at all. or v h one.	at	at all	no	ADVP				
159766:25	i don't watch t v much at all.	at	at all	no	ADVP				
159827:12	but i put all the money into it.	put	put all the money into it	nullpartitive	VP		NP	NP-OBJ	sw4171_s10_503
159894:29	well, it, it got all screwed --n402b90 up because i had a high deductible on the health insurance,	got	got all screwed --n402b90 up because i had a high deductible on the health insurance	no	VP				
159955:4	all that stuff, huh.			nullpartitive			NP	NP-OTHER	sw4171_s98_501
160175:18	i mean, they all have like shopping carts and stuff	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw4175_s21_505
160215:18	you can't really unload all your stuff.	unload	unload all your stuff	nullpartitive	VP		NP	NP-OBJ	sw4175_s43_505
160251:19	and since we go there all the time, i mean	there	go there all the time	nullpartitive	VP		NP-TMP		sw4175_s65_506
160255:12	probably mumblex at all.	at	at all	no	ADVP				
160349:20	paper doesn't seem threatening at all, you know.	at	at all	no	ADVP				
160432:23	we would no longer need paper at all.	at	at all	no	ADVP				
160475:16	and that's about all i ever hear --n400e5f of it.	about	's about all i ever hear --n400e5f of it	no	VP		NP-PRD	NP-OTHER	sw4177_s25_504
160529:77	well right now trying to keep abreast of, uh, what --n4028b1's going on in europe, you know, with all the, u s s r's satellites breaking off, trying --n402914 to become independent and, you know, european community coming together.	with	with all the, u s s r's satellites breaking off, trying --n402914 to become independent and, you know, european community coming together	nullpartitive	SBAR-ADV		NP-SBJ-N402914		sw4177_s64_527
160591:30	and they're, they've all got their own reasons which --n403f1a have --n403f25 to be resolved --n403f38 yet.		've all got their own reasons which --n403f1a have --n403f25 to be resolved --n403f38 yet	no	VP				
160641:19	i think that we're all paying a little bit too much taxes and not seeing too much good come out of it.	're	're all paying a little bit too much taxes and not seeing too much good come out of it	no	VP				
160787:18	i think it's all going into, into bureaucrats.	's	's all going into, into bureaucrats	no	VP				
160821:34	because like in new hampshire, they say, oh, all right, let's cut the military budget.	oh	, oh, all right, let's cut the military budget	no	S-IMP,SEZ				
160904:21	uh. i'm going into all this because i used --n400353 to w-, i just got done --n400376 working at a pet shop actually.	into	into all this	nullpartitive	PP		NP	NP-OTHER	sw4184_s14_506
161215:26	and that was the most difficult thing of all, to find the, the right people, the qualified people.	of	of all	no	PP		NP	NP-OTHER	sw4311_s29_507
161217:28	and it --n401669's the most difficult of all for a parent, judge, uh because a person can be very nice and warm and loving,	of	of all	no	PP		NP	NP-OTHER	sw4311_s30_509
161225:61	and i didn't want --n401bc9 to run an institution where that was the case --n401bf4, where all we were doing --n401c17 were warehousing --n401c26 because the first four, five years or so important	where	where all we were doing --n401c17 were warehousing --n401c26	no	SBAR		NP-SBJ	NP-OTHER	sw4311_s35_521
161235:18	get rid --n40249f of all these child care centers, at least for young kids below the age of six.	of	of all these child care centers	nullpartitive	PP		NP	NP-OTHER	sw4311_s42_506
161240:82	in other words, they probably would not work, may not, en-, may end up --n4027f9 not working at all d-, in the twenties.	at	at all	no	ADVP				
161277:25	but i can't deal with opera at all.	at	at all	no	ADVP				
161337:66	mi-, michael bolton really got on my nerves because he, he was making all this money --n401a1f doing mediocre cover tunes.	making	making all this money --n401a1f doing mediocre cover tunes	nullpartitive	VP		NP	NP-OBJ	sw4312_s38_521
161345:43	and and that, that's about all he had --n401dc2 going for him. or still has, for that matter.	about	's about all he had --n401dc2 going for him. or still has, for that matter	no	VP		NP-PRD	NP-OTHER	sw4312_s42_513
161357:11	that's all you really need --n402118 for a lot of, lot of pop.	's	's all you really need --n402118 for a lot of, lot of pop	no	VP		NP-PRD	NP-OTHER	sw4312_s48_503
161460:13	just motorboat's all we,	's	's all we	no	VP		NP-PRD	NP-OTHER	sw4314_s24_503
161472:3	all right.			no					
161539:30	uh, all we, all we have --n40184e up here mostly bass boats.	we	uh, all we, all we have --n40184e up here mostly bass boats.	no	S		NP-SBJ	NP-OTHER	sw4314_s74_511
161577:3	all right.			no					
161600:12	but that's all,	's	's all	no	VP		NP-PRD		sw4314_s117_503
161658:19	well, that's about all we have --n403a5f.	about	's about all we have --n403a5f	no	VP		NP-PRD	NP-OTHER	sw4314_s155_505
161693:35	what kind of, what lake do you all use --n404498.	you	you all	no	NP-SBJ		NP-SBJ		sw4314_s178_510
161740:17	w-, all we do --n404eaa here is make transformers electronics and stuff like that.	w-	w-, all we do --n404eaa here is make transformers electronics and stuff like that.	no	S		NP-SBJ	NP-OTHER	sw4314_s206_505
161753:12	been here all my life.	here	been here all my life	nullpartitive	VP		NP-TMP		sw4314_s213_504
161821:7	and all we do --n401422 is just displace other people which --n401445 come back into society and commit crimes	and	and all we do --n401422 is just displace other people which --n401445 come back into society and commit crimes	no	S		NP-SBJ	NP-OTHER	sw4316_s33_501
161857:42	and, the problem she had --n401ce3 was not with the inmates at all.	at	at all	no	ADVP				
161969:44	well, what he wants --n404a5c to do --n404a6b is take all the money that, uh, he gets --n404aa2 for drug enforcement and use it for, uh, drug education.	take	take all the money that, uh, he gets --n404aa2 for drug enforcement	nullpartitive	VP		NP	NP-OBJ	sw4316_s117_517
162187:6	so all the depreciation has been taken --n40472d off	so	so all the depreciation has been taken --n40472d off	nullpartitive	S		NP-SBJ-N40472D		sw4318_s126_501
162224:123	and i'm actually making just about as much as, you know, i'm m-, making actually over average, over the average for my career, my experience and all that stuff which --n4004e2 kind of surprised me.	and	my career, my experience and all that stuff	nullpartitive	NP		NP	NP-OTHER	sw4319_s9_536
162291:11	but, for all practical purpose, you are almost a hundred percent covered.	for	for all practical purpose	no	PP-PRP		NP	NP-OTHER	sw4319_s45_502
162421:28	it's, it's all ecologically designed		's all ecologically designed	no	VP				
162452:93	and they're starting --n40045e to, uh, get these hand held metal detectors so they can inspect the kids every morning when they come to school --n4004c1, of all things.	of	of all things	no	PP		NP	NP-OTHER	sw4320_s8_528
162551:26	and that's what --n402d05's causing all the killing.	causing	causing all the killing	nullpartitive	VP		NP	NP-OBJ	sw4320_s70_509
162584:21	but it's not wrong because all their friends do it.	because	because all their friends do it	nullpartitive	SBAR-PRP		NP-SBJ		sw4320_s88_506
162647:18	i looked conser-, and all that stuff	and	looked conser-, and all that stuff	nullpartitive	VP		NP-ETC		sw4321_s18_505
162703:68	and, you know, they like --n402b7f to think that they're getting someone who --n402ba6's objective in all this,	in	in all this	nullpartitive	PP		NP	NP-OTHER	sw4321_s61_525
162902:77	i always kind of think it --n403253 would be neat to be able --n403276 to watch them and be there for them all the time.	them	watch them and be there for them all the time	nullpartitive	VP		NP-TMP		sw4325_s113_528
162910:15	so i'm here all the time.	here	'm here all the time	nullpartitive	VP		NP-TMP		sw4325_s118_504
162940:27	so they haven't been to public schools at all.	at	at all	no	ADVP				
162970:9	they were all murdered --n400945.	were	were all murdered --n400945	no	VP				
162986:49	because the judges sitting in that kind of stuff day after day, they know all the procedures,	know	know all the procedures	nullpartitive	VP		NP	NP-OBJ	sw4327_s25_516
163088:85	and, and when you stop and look at it --n403f66, i mean, the judges, th-, they're all former lawyers.		're all former lawyers	no	VP				
163173:15	you know, all kinds of bottles they, they, they really charge people to, i guess --n4019f1 when you purchase them --n401a08 and, and then when you turn them back in --n401a37.	know	you know, all kinds of bottles they, they, they really charge people to, i guess --n4019f1 when you purchase them --n401a08 and, and then when you turn them back in --n401a37.	no	S-N4019F1		NP-TPC	NP-OTHER	sw4329_s51_505
163270:8	we all do it.	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw4329_s109_501
163334:29	we're not being tested --n4005f5 for drugs at all,	at	at all	no	ADVP				
163381:27	and everybody there, you know, are all software engineers.	are	are all software engineers	no	VP				
163383:98	and yet, we're getting, we're subjected --n401cf3 to this policy, you know, the same one that, uh, th-, all the engineers have --n401d5a to, to,	th-	th-, all the engineers have --n401d5a to, to	nullpartitive	S		NP-SBJ-N401D5A		sw4330_s42_531
163461:20	he makes you take off all your clothes	off	take off all your clothes	nullpartitive	VP		NP	NP-OTHER	sw4330_s104_507
163522:172	it's, it's, it's funny because, uh, it was one of the things that bush is trying really hard --n402848 to get ahold of --n40285f is the line item veto where, uh, you know, congress is able --n4028a2 to attach all kinds of, uh, funny amendments for individual, uh, c-, congressional districts to the, to the main budget proposals --n402921	attach	attach all kinds of, uh, funny amendments for individual, uh, c-, congressional districts to the, to the main budget proposals	no	VP		NP	NP-OBJ	sw4333_s45_561
163607:15	so that's about all i can feel apt --n400243 to discuss --n400252 with you since i just know,	about	about all	no	NP		NP-PRD	NP-OTHER	sw4334_s4_503
163635:30	uh, i don't listen to the radio at all.	at	at all	no	ADVP				
163672:24	i don't know any folk music at all.	at	at all	no	ADVP				
163686:38	i, i don't care for it at all, that texas twang or whatever you want --n401c40 to call it --n401c53.	at	at all	no	ADVP				
163716:13	and that's all it,	's	's all it	no	VP		NP-PRD	NP-OTHER	sw4334_s73_503
163771:108	so, i don't know, i, i don't know that that's, i don't think that's a good thing at all,	at	at all	no	ADVP				
163800:26	i just mostly buy along the same lines all the time.	lines	buy along the same lines all the time	nullpartitive	VP		NP-TMP		sw4334_s131_507
163882:132	there were one case where, uh, this one guy, uh, was taking women from the teller and, and, you know, making them give him money and stuff and then at the same time, raping them all --n4015e8,	them	them all	no	NP		NP	NP-IOBJ	sw4336_s26_535
163914:134	but i, i don't really think those things happen too often because, like i said, from what --n402318's reported --n402327 in the news, at least, it's, it's not all that common.	not	's not all that common	nullpartitive	VP				
164113:17	what about, uh, all wheel drive.	uh	about, uh, all wheel drive	no	PP		NP	NP-OTHER	sw4339_s91_504
164151:52	i guess, uh, when you, when you count all the little things that people do --n400c35 like --n400c40,	count	count all the little things that people do --n400c35 like --n400c40	nullpartitive	VP		NP	NP-OBJ	sw4340_s14_519
164294:30	i don't think you'll ever stop all that stuff dead,	stop	stop all that stuff dead	nullpartitive	VP		NP	NP-OBJ	sw4340_s104_510
164388:15	and then do it all over again.	it	do it all over again	no	VP				
164419:38	huh. do you think they should be punished --n401dd7 at all, or, uh, like go to prison, uh,	at	at all	no	ADVP				
164677:130	oh, i would imagine in, uh, you know, in, in dallas they have plenty happening in dallas to cover --n404253, that it --n404266 gets hard covering all of the sub-, suburbs	covering	covering all of the sub-, suburbs	yes	VP		NP	NP-OBJ	sw4342_s100_549
164733:13	they almost take all emotions out of it when they report it --n401808	take	take all emotions out of it when they report it --n401808	no	VP		NP	NP-OBJ	sw4345_s28_504
164850:39	because what --n4016f5 was happening was, you know, all the very rich people went out to the, move out to the suburbs	know	all the very rich people went out to the, move out to the suburbs	nullpartitive	SBAR-PRD		NP-SBJ		sw4346_s45_515
164863:143	so i, you know, i think that one of the things, one of the ways to, to, to help schools in general, uh, and get them all to a minimum level of, of, of competency almost --n401e22, would be to expand the size of school districts so you get a wider variety of people,	them	them all	no	NP		NP	NP-IOBJ	sw4346_s54_549
164889:162	as far as their learning, i mean, if the parents aren't, uh, you know, willing --n402d26 to go with the kids and find out what they're learning --n402d5d and if they're learning you know, they really don't have much of a chance at all.	at	at all	no	ADVP				
164972:19	it wasn't a problem at all,	at	at all	no	ADVP				
165050:54	uh, they've got all the american, well, all the, all the cars rated --n401de9, you know,	the	all the american, well, all the, all the cars rated --n401de9	nullpartitive	S		NP-SBJ-N401DE9		sw4347_s58_515
165084:41	because technology is so, uh, you know, volatile and changing all the time.	changing	changing all the time	nullpartitive	VP		NP-TMP		sw4347_s84_512
165110:35	and the hardware, well, i mean, all the chips that --n403233 make up the hardware are a commodity	mean	and the hardware, well, i mean, all the chips that --n403233 make up the hardware are a commodity	nullpartitive	S		NP-SBJ	NP-OTHER	sw4347_s99_509
165118:21	i used --n403575 to see all those commercials for windows, you know,	see	see all those commercials for windows	nullpartitive	VP		NP	NP-OBJ	sw4347_s104_507
165131:34	and i really don't see an advantage of windows at all.	at	at all	no	ADVP				
165183:34	well, that's, that's all right.		's all right	no	VP				
165218:61	and i know that the oil --n4009ff needs, should be changed --n400a1a very regularly and all of the bearings	and	and all of the bearings	yes	NAC-N4009FF		NP	NP-OTHER	sw4349_s16_519
165355:8	do you all have a budget.	you	you all	no	NP-SBJ		NP-SBJ		sw4353_s4_501
165419:28	she, uh she writes all the checks, you know, once a month.	writes	writes all the checks, you know, once a month	nullpartitive	VP		NP	NP-OBJ	sw4353_s46_509
165440:23	she likes --n401896 keeping track of all that stuff	of	of all that stuff	nullpartitive	PP		NP	NP-OTHER	sw4353_s59_508
165520:16	it sounds like you all pretty much do it the same we do --n403077.	you	you all	no	NP-SBJ		NP-SBJ		sw4353_s113_505
17120:11	and they're all spiritually, uh, oriented,	're	're all spiritually, uh, oriented	no	VP				
164630:51	he was a really cool guy. uh, you know, went to columbia university and all this stuff.	and	was a really cool guy. uh, you know, went to columbia university and all this stuff	nullpartitive	VP		NP-ETC		sw4342_s71_514
165329:63	so in the process of seizing, the belt spun on the pulley and wore through the water pump pulley almost all the way. but not far enough to notice.	almost	almost all the way	nullpartitive	ADVP				
165534:40	i mean he works it out every month and breaks it all down.	it	it all	no	NP		NP	NP-IOBJ	sw4353_s120_512
165550:80	because i think when you go to the grocery store --n403861, you can just, you can go crazy with all the choices that you have --n4038a8	with	with all the choices that you have --n4038a8	nullpartitive	PP		NP	NP-OTHER	sw4353_s130_527
165590:18	you will see that all of a sudden you're paying, you're trying --n4040f2 to decide whether you are going --n404111 to do, you know, soccer and piano and all these choices that they have --n404158 of activities to do --n404177	that	that all of a sudden you're paying, you're trying --n4040f2 to decide whether you are going --n404111 to do, you know, soccer and piano and all these choices that they have --n404158 of activities to do --n404177		SBAR		NP-ADV	NP-OTHER	sw4353_s152_506
165590:117	you will see that all of a sudden you're paying, you're trying --n4040f2 to decide whether you are going --n404111 to do, you know, soccer and piano and all these choices that they have --n404158 of activities to do --n404177	and	soccer and piano and all these choices that they have --n404158 of activities to do --n404177	nullpartitive	NP		NP	NP-OTHER	sw4353_s152_538
165683:32	cause i do al-, almost all my own maintenance and, uh those types of things.		almost all	nullpartitive	ADJP			NP-OTHER	
165941:36	and they used --n403f88 to have --n403f97 to take out all the, uh, pages and then cut the spine off --n403fda to be able --n403fed to recycle them.	out	take out all the, uh, pages	nullpartitive	VP		NP	NP-OTHER	sw4358_s70_513
166014:77	i just, i think that things were a bit, were, have been busy all along.	busy	been busy all along	no	VP				
166028:49	or do you think that we're, we're, uh, all trying --n401ac3 to keep up with a certain standard of living.	uh	're, uh, all trying --n401ac3 to keep up with a certain standard of living	no	VP				
166090:18	but, uh people want all of that	want	want all of that	yes	VP		NP	NP-OBJ	sw4360_s78_504
166094:9	and not all of those are necessities.	not	not all	yes	NP		NP-SBJ	NP-OTHER	sw4360_s80_501
166153:10	and they all seem --n401e44 to go together.	they	they all	no	NP-SBJ-N401E44		NP-SBJ-N401E44	NP-OTHER	sw4362_s37_501
166156:15	they --n40224b're all three social issues and could be addressed --n402276 by the government in any ways. and clearly, to me, is a kind of government thing to, to fix --n4022e1	're	're all three social issues	no	VP		NP-N40224B		sw4362_s40_506
166176:6	not all school districts are well paid.	not	not all school districts	no	NP-SBJ		NP-SBJ		sw4362_s55_501
166185:12	they both work all summer full-time.	work	work all summer full-time	no	VP		NP-TMP		sw4362_s61_503
166243:28	well, that that's all right.		's all right	no	VP				
166370:37	you know, it's all, it's all money now.	's	's all money now	no	VP				
166371:12	even college is all can we get on t v	is	is all can we get on t v	no	VP				
166599:37	i'll just buy it somewhere else or not buy it at all.	at	at all	no	ADVP				
166669:26	and i started --n402ca5 getting calls from all sorts of diseases and syndromes and everything you could imagine --n402ce8.	from	from all sorts of diseases and syndromes and everything you could imagine --n402ce8	no	PP		NP	NP-OTHER	sw4364_s64_508
166707:45	there's no need for someone who --n403ac3 is soliciting should know at all.	at	at all	no	ADVP				
166778:11	but they were all, goodness, younger than your grandparents.	were	were all, goodness, younger than your grandparents	no	VP				
166888:73	maybe just the judge because they're the people who --n401ef4 know what the system is --n401f0f and what it's all about --n401f2e and believe in the system.	's	's all about --n401f2e	no	VP				
166924:65	i don't, i don't know that they always have because i never sat all the way through a jury trial.	sat	sat all the way through a jury trial	nullpartitive	VP		NP-ADV		sw4370_s63_523
166935:45	when it comes down to things like alternative sentencing --n4034df, i'm all for that for, uh, small crimes, infractions and misdemeanors or parking tickets or traffic tickets that --n403542 have gone to warrant,	'm	'm all for that for, uh, small crimes, infractions and misdemeanors or parking tickets or traffic tickets that --n403542 have gone to warrant	no	VP				
166992:31	and states c-, can use all the revenue they can get --n4021dc.	use	use all the revenue they can get --n4021dc	nullpartitive	VP		NP	NP-OBJ	sw4372_s29_509
167014:30	but the accounting department will, uh, suck up all the bills at the end of the month and realize how much they have --n402ffc to pay --n40300b.	up	suck up all the bills at the end of the month	nullpartitive	VP		NP	NP-OTHER	sw4372_s44_507
167041:37	there, there is no well defined mechanism at all	at	at all	no	ADVP				
167135:12	now that's all fine and well and, and, uh, good philosophical.	's	's all fine and well and, and, uh, good philosophical	no	VP				
167235:10	well, all it ever did --n400f93 was rain and thunder storms.	well	well, all it ever did --n400f93 was rain and thunder storms.	no	S		NP-SBJ	NP-OTHER	sw4378_s37_502
167376:59	and so, uh, and, and so we wanted --n4034f4 to get all new stuff in there.	get	get all new stuff in there	no	VP			NP-OBJ	
167494:30	i guess, uh, we keep it all in a safe here at the house.	it	it all	no	NP		NP	NP-IOBJ	sw4379_s48_508
167518:43	does your husband deal in, uh, stocks and bonds and mutual funds and all that kind of stuff.	and	stocks and bonds and mutual funds and all that kind of stuff	nullpartitive	NP		NP	NP-OTHER	sw4379_s63_505
167811:81	once, once it seemed i got into high school, they had a lot of, uh, mumblex accelerated programs and all kinds of stuff like that.	and	accelerated programs and all kinds of stuff like that	no	NP		NP	NP-OTHER	sw4380_s94_523
167822:62	once you book junior high, uh, start junior high, --n404c21 starting in eighth grade all the way through high school, there were four levels.	grade	once you book junior high, uh, start junior high, --n404c21 starting in eighth grade all the way through high school, there were four levels.	nullpartitive	S		NP-ADV	NP-OBJ	sw4380_s100_518
167836:20	and it's like crystal clear all the time except for during the winter when the inversion sets in --n400133	clear	's like crystal clear all the time except for during the winter when the inversion sets in --n400133	nullpartitive	VP		NP-TMP		sw4382_s3_505
168125:160	it's like well you know, if you're a partying kind of guy and you drink, you know, like a couple of twelve packs, maybe, over the weekend it's going --n4031bf to be hard pressed to p-, --n4031e6 to put all your recyclables in that one place, you know.		put all your recyclables in that one place	nullpartitive	VP		NP	NP-OTHER	sw4483_s96_554
168218:22	and they have some good feedback and all that stuff	and	some good feedback and all that stuff	nullpartitive	NP		NP	NP-OTHER	sw4483_s152_503
168237:31	and you need --n400449 to make sure all your bills are paid --n400478.	sure	all your bills are paid --n400478	nullpartitive	SBAR		NP-SBJ-N400478		sw4519_s6_512
168358:9	oh, all right.	oh	oh, all right.	no	INTJ				
168372:15	do they budget at all.	at	at all	no	PP		NP	NP-OTHER	sw4519_s74_504
168551:36	i would like for it to be settled once for all and, uh, get in the background while the more important issues get discussed --n403564, uh, uh,	for	for all	no	PP		NP	NP-OTHER	sw4548_s93_513
168792:42	i was ju-, started --n400377 to think about all the big, you know, data bases they have --n4003ba with all the information about you on them like the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	about	about all the big, you know, data bases they have --n4003ba with all the information about you on them like the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	nullpartitive	PP		NP	NP-OTHER	sw4572_s8_514
168792:82	i was ju-, started --n400377 to think about all the big, you know, data bases they have --n4003ba with all the information about you on them like the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	with	with all the information about you on them like the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	nullpartitive	PP		NP	NP-OTHER	sw4572_s8_527
168792:115	i was ju-, started --n400377 to think about all the big, you know, data bases they have --n4003ba with all the information about you on them like the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	and	the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	nullpartitive	NP		NP	NP-OTHER	sw4572_s8_534
168792:220	i was ju-, started --n400377 to think about all the big, you know, data bases they have --n4003ba with all the information about you on them like the credit reports and all those, you know, demographics studies that they do --n400421 that, --n400430 um, you know, have, who --n400457 knows, how much, you know, stuff about all the purchases that you've made --n4004a2 and everything --n4004b1 kept tract --n4004c0 somewhere	about	about all the purchases that you've made --n4004a2 and everything	nullpartitive	PP		NP	NP-OTHER	sw4572_s8_572
168855:141	i mean i've heard of things like, you know, making them, you know, marking them somehow or, you know, or something like that or, you know, putting them all someplace like in a kind of,	them	them all	no	NP		NP	NP-IOBJ	sw4572_s47_549
169310:18	and then i'll learn all about this thing that --n400e5c was in the news two years earlier.	learn	learn all about this thing that --n400e5c was in the news two years earlier	no	VP				
169331:61	and, and the cynical view is, well these things aren't doing a very good job at all.	at	at all	no	ADVP				
169468:39	and i, i think that's probably all right in that they, you know, maybe know what the, the norm --n400b84 is --n400b8f for a particular thing.	probably	's probably all right in that they, you know, maybe know what the, the norm --n400b84 is --n400b8f for a particular thing	no	VP				
169547:32	they should have one year and one appeal. cover all their bases with one appeal	cover	cover all their bases with one appeal	nullpartitive	VP		NP	NP-OBJ	sw4617_s67_509
169618:51	it's probably like thirty, forty thousand dollars a day you know, worth of all the free for all.	of	of all the free for all	nullpartitive	PP		NP	NP-OTHER	sw4617_s109_516
169618:59	it's probably like thirty, forty thousand dollars a day you know, worth of all the free for all.	for	all the free for all	no	NP		NP	NP-OTHER	sw4617_s109_516
169686:53	have you, well wai-, have you had any experience with it at all.	at	at all	no	ADVP				
169895:249	but again, um, it must be depressing for the people who, who --n402040 are, who --n402057 are just e-, e-, essentially not able --n40209e to take care of themselves in their own house but, but, certainly, uh, certainly have ar-, ar-, are, have retained all of their, uh, mental skills and so on.	retained	retained all of their, uh, mental skills and so on	yes	VP		NP	NP-OBJ	sw4619_s42_585
169896:107	it --n4024d8's, must be depressing to, to walk, walk the halls and see, an-, and see all these other people who --n40256b really don't know where they are --n40258e.		see all these other people who --n40256b really don't know where they are --n40258e	nullpartitive	VP		NP	NP-OTHER	sw4619_s43_534
169924:30	and they were in the same room which not all husband and wives were --n403b0b	not	not all husband and wives	no	NP-SBJ		NP-SBJ		sw4619_s61_509
169929:39	and when you walked into their room --n403c0b, they had brought all their furniture from their house	brought	brought all their furniture from their house	nullpartitive	VP		NP	NP-OBJ	sw4619_s64_512
169942:51	but this room, on the other hand, you know, they got rid --n404149 of all of the sort of standard issue beds and dressers and this and that	of	of all of the sort of standard issue beds and dressers and this and that	yes	PP		NP	NP-OTHER	sw4619_s73_513
169943:13	and they had all their stuff from their house	had	had all their stuff from their house	nullpartitive	VP		NP	NP-OBJ	sw4619_s74_503
169988:20	but i've two kids and all.	and	've two kids and all	no	VP		NP-ETC		sw4626_s9_505
170249:102	you know. because it --n40294b's not a person's fault that, you know, people not buying or businesses are, are not on the up and up all the time, you know.	up	are not on the up and up all the time, you know	nullpartitive	VP		NP-TMP		sw4628_s61_531
170265:111	well, you, you think it --n4031da's better than to, to try --n40320d to spread the, the effort equally among all the employees of the company	among	among all the employees of the company	nullpartitive	PP		NP	NP-OTHER	sw4628_s70_539
170279:72	and, you know, there are reason to look for another job instead of just dumping it on them all at one time --n403780.	them	dumping it on them all at one time	no	VP				
170375:14	she's got all these sisters and her brother --n401233 to take care of her.	got	got all these sisters and her brother --n401233 to take care of her	nullpartitive	VP		NP-N401233	NP-OBJ	sw4633_s42_504
170382:32	i think it was easier when they all had each other and could entertain each other and i was home more --n40152d.	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw4633_s47_512
170385:8	did you all do a lot of organized things like, uh, little league, uh, soccer.	you	you all	no	NP-SBJ		NP-SBJ		sw4633_s49_501
170395:13	we have flown all over the world for her to compete and to perform.	flown	flown all over the world for her to compete and to perform	no	VP				
170401:25	i mean, there is a competition all the time.	competition	is a competition all the time	nullpartitive	VP		NP-TMP		sw4633_s60_508
170451:27	it was making the friends and going all the places	going	going all the places	nullpartitive	VP		NP-DIR		sw4633_s94_509
170581:13	and they go all right, we got a sucker.	go	go all right, we got a sucker	no	VP				
170694:54	because the place where you buy your car --n4035db, they're usually the worst one of all.	of	of all	no	PP		NP	NP-OTHER	sw4642_s110_517
170726:57	and, uh, they, when they put her in --n4004c6, she had all kinds of trouble	had	had all kinds of trouble	no	VP		NP	NP-OBJ	sw4646_s10_517
170776:44	if, if you can take care of yourself at all or have someone that --n401e18 can take care of you, then you stay where you are --n401e4f.	at	at all	no	ADVP				
170799:47	i guess that's a problem --n4026de too for people. wait lists and all.	and	wait lists and all	no	NP-TPC		NP-TPC	NP-OTHER	sw4646_s56_513
170848:30	and cause like if your spouse died, mumblex all alone, it --n40392f'd be nice to go someplace with people similar to you. to have friends.	mumblex	died, mumblex all alone	no	VP				
170861:11	so it's all over	's	's all over	no	VP				
170937:84	and they finding, in some cases they're finding it --n40212d's just not worth it to work because it's all going out in daycare.	's	's all going out in daycare	no	VP				
170991:19	and if they're at all queasy about that then i'd look elsewhere,	at	at all	no	ADVP				
171125:14	but, we have all single families.	have	have all single families	no	VP		NP	NP-OBJ	sw4659_s63_503
171201:121	but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that --n40021a convicts a person, which i don't think --n400249 is all the time good. because sometimes it --n400274's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know or you don't really have an eyewitness.	is	is all the time good	nullpartitive	VP		NP-TMP		sw4679_s5_540
171201:163	but a lot of time i-, a lot of cases, uh, is circumstantial evidence that, that --n40021a convicts a person, which i don't think --n400249 is all the time good. because sometimes it --n400274's hard to get all the facts and to prove a person innocent, i mean prove a person guilty if you don't really know or you don't really have an eyewitness.	get	get all the facts	nullpartitive	VP		NP	NP-OBJ	sw4679_s5_555
171245:62	well i guess i don't think that, uh, uh, juries need --n401bac to decide sentencing all the time.	sentencing	need --n401bac to decide sentencing all the time	nullpartitive	VP		NP-TMP		sw4679_s36_520
